model,RMSE,MAE
SVD,0.7926658386239793,0.5948496117173999
NCF,0.8245049380045091,0.6202012198817997
NMF,0.8872791462939617,0.668919314657254
UserCF,0.9628622666461902,0.7443364283869492
ALS,1.3956110083495976,1.035706336710814
